SystemID,T,SystemIteration,Error,Timeout,Size
2,1,1,false,false,3
2,1,2,false,false,3
2,1,3,false,false,3
2,1,4,false,false,3
2,1,5,false,false,3
2,2,1,false,false,6
2,2,2,false,false,6
2,2,3,false,false,6
2,2,4,false,false,6
2,2,5,false,false,6
2,3,1,false,false,6
2,3,2,false,false,6
2,3,3,false,false,6
2,3,4,false,false,6
2,3,5,false,false,6
29,1,1,false,false,3
29,1,2,false,false,3
29,1,3,false,false,3
29,1,4,false,false,3
29,1,5,false,false,3
29,2,1,false,false,9
29,2,2,false,false,9
29,2,3,false,false,9
29,2,4,false,false,9
29,2,5,false,false,9
29,3,1,false,false,17
29,3,2,false,false,17
29,3,3,false,false,17
29,3,4,false,false,17
29,3,5,false,false,17
41,1,1,false,false,4
41,1,2,false,false,4
41,1,3,false,false,4
41,1,4,false,false,4
41,1,5,false,false,4
41,2,1,false,false,8
41,2,2,false,false,8
41,2,3,false,false,8
41,2,4,false,false,8
41,2,5,false,false,8
41,3,1,false,false,15
41,3,2,false,false,15
41,3,3,false,false,15
41,3,4,false,false,15
41,3,5,false,false,15
34,1,1,false,false,2
34,1,2,false,false,2
34,1,3,false,false,2
34,1,4,false,false,2
34,1,5,false,false,2
34,2,1,false,false,7
34,2,2,false,false,8
34,2,3,false,false,8
34,2,4,false,false,7
34,2,5,false,false,7
34,3,1,false,false,17
34,3,2,false,false,15
34,3,3,false,false,16
34,3,4,false,false,17
34,3,5,false,false,17
6,1,1,false,false,2
6,1,2,false,false,2
6,1,3,false,false,2
6,1,4,false,false,3
6,1,5,false,false,3
6,2,1,false,false,8
6,2,2,false,false,9
6,2,3,false,false,8
6,2,4,false,false,9
6,2,5,false,false,8
6,3,1,false,false,28
6,3,2,false,false,28
6,3,3,false,false,25
6,3,4,false,false,26
6,3,5,false,false,29
44,1,1,false,false,2
44,1,2,false,false,2
44,1,3,false,false,2
44,1,4,false,false,2
44,1,5,false,false,2
44,2,1,false,false,10
44,2,2,false,false,12
44,2,3,false,false,10
44,2,4,false,false,12
44,2,5,false,false,10
44,3,1,false,false,36
44,3,2,false,false,36
44,3,3,false,false,40
44,3,4,false,false,38
44,3,5,false,false,39
30,1,1,false,false,3
30,1,2,false,false,3
30,1,3,false,false,3
30,1,4,false,false,3
30,1,5,false,false,3
30,2,1,false,false,6
30,2,2,false,false,6
30,2,3,false,false,6
30,2,4,false,false,6
30,2,5,false,false,6
30,3,1,false,false,7
30,3,2,false,false,7
30,3,3,false,false,7
30,3,4,false,false,7
30,3,5,false,false,7
11,1,1,false,false,2
11,1,2,false,false,2
11,1,3,false,false,2
11,1,4,false,false,2
11,1,5,false,false,2
11,2,1,false,false,13
11,2,2,false,false,12
11,2,3,false,false,14
11,2,4,false,false,12
11,2,5,false,false,13
11,3,1,false,false,40
11,3,2,false,false,43
11,3,3,false,false,46
11,3,4,false,false,42
11,3,5,false,false,44
10,1,1,false,false,3
10,1,2,false,false,3
10,1,3,false,false,3
10,1,4,false,false,3
10,1,5,false,false,3
10,2,1,false,false,10
10,2,2,false,false,9
10,2,3,false,false,9
10,2,4,false,false,10
10,2,5,false,false,10
10,3,1,false,false,25
10,3,2,false,false,25
10,3,3,false,false,25
10,3,4,false,false,24
10,3,5,false,false,25
0,1,1,false,false,3
0,1,2,false,false,3
0,1,3,false,false,3
0,1,4,false,false,3
0,1,5,false,false,3
0,2,1,false,false,10
0,2,2,false,false,11
0,2,3,false,false,10
0,2,4,false,false,10
0,2,5,false,false,10
0,3,1,false,false,33
0,3,2,false,false,38
0,3,3,false,false,33
0,3,4,false,false,37
0,3,5,false,false,32
14,1,1,false,false,4
14,1,2,false,false,4
14,1,3,false,false,4
14,1,4,false,false,4
14,1,5,false,false,4
14,2,1,false,false,12
14,2,2,false,false,12
14,2,3,false,false,12
14,2,4,false,false,11
14,2,5,false,false,12
14,3,1,false,false,22
14,3,2,false,false,22
14,3,3,false,false,23
14,3,4,false,false,22
14,3,5,false,false,22
16,1,1,false,false,3
16,1,2,false,false,3
16,1,3,false,false,3
16,1,4,false,false,3
16,1,5,false,false,3
16,2,1,false,false,14
16,2,2,false,false,14
16,2,3,false,false,13
16,2,4,false,false,14
16,2,5,false,false,14
16,3,1,false,false,42
16,3,2,false,false,52
16,3,3,false,false,46
16,3,4,false,false,46
16,3,5,false,false,50
1,1,1,false,false,3
1,1,2,false,false,3
1,1,3,false,false,3
1,1,4,false,false,3
1,1,5,false,false,3
1,2,1,false,false,13
1,2,2,false,false,13
1,2,3,false,false,14
1,2,4,false,false,15
1,2,5,false,false,14
1,3,1,false,false,52
1,3,2,false,false,52
1,3,3,false,false,47
1,3,4,false,false,53
1,3,5,false,false,50
39,1,1,false,false,6
39,1,2,false,false,6
39,1,3,false,false,6
39,1,4,false,false,6
39,1,5,false,false,6
39,2,1,false,false,20
39,2,2,false,false,20
39,2,3,false,false,20
39,2,4,false,false,20
39,2,5,false,false,20
39,3,1,false,false,63
39,3,2,false,false,63
39,3,3,false,false,63
39,3,4,false,false,62
39,3,5,false,false,63
15,1,1,false,false,4
15,1,2,false,false,4
15,1,3,false,false,4
15,1,4,false,false,4
15,1,5,false,false,4
15,2,1,false,false,16
15,2,2,false,false,15
15,2,3,false,false,15
15,2,4,false,false,17
15,2,5,false,false,16
15,3,1,false,false,59
15,3,2,false,false,62
15,3,3,false,false,64
15,3,4,false,false,56
15,3,5,false,false,59
31,1,1,false,false,9
31,1,2,false,false,9
31,1,3,false,false,8
31,1,4,false,false,8
31,1,5,false,false,8
31,2,1,false,false,37
31,2,2,false,false,38
31,2,3,false,false,36
31,2,4,false,false,38
31,2,5,false,false,38
31,3,1,false,false,122
31,3,2,false,false,119
31,3,3,false,false,123
31,3,4,false,false,123
31,3,5,false,false,121
13,1,1,false,false,3
13,1,2,false,false,3
13,1,3,false,false,3
13,1,4,false,false,3
13,1,5,false,false,3
13,2,1,false,false,14
13,2,2,false,false,14
13,2,3,false,false,14
13,2,4,false,false,14
13,2,5,false,false,14
13,3,1,false,false,52
13,3,2,false,false,53
13,3,3,false,false,55
13,3,4,false,false,55
13,3,5,false,false,55
24,1,1,false,false,3
24,1,2,false,false,3
24,1,3,false,false,3
24,1,4,false,false,3
24,1,5,false,false,3
24,2,1,false,false,23
24,2,2,false,false,23
24,2,3,false,false,24
24,2,4,false,false,23
24,2,5,false,false,23
24,3,1,false,false,114
24,3,2,false,false,113
24,3,3,false,false,105
24,3,4,false,false,110
24,3,5,false,false,115
23,1,1,false,false,3
23,1,2,false,false,3
23,1,3,false,false,3
23,1,4,false,false,3
23,1,5,false,false,3
23,2,1,false,false,19
23,2,2,false,false,19
23,2,3,false,false,18
23,2,4,false,false,17
23,2,5,false,false,19
23,3,1,false,false,82
23,3,2,false,false,86
23,3,3,false,false,78
23,3,4,false,false,84
23,3,5,false,false,79
17,1,1,false,false,2
17,1,2,false,false,2
17,1,3,false,false,2
17,1,4,false,false,2
17,1,5,false,false,2
17,2,1,false,false,31
17,2,2,false,false,28
17,2,3,false,false,28
17,2,4,false,false,29
17,2,5,false,false,28
17,3,1,false,false,158
17,3,2,false,false,170
17,3,3,false,false,160
17,3,4,false,false,166
17,3,5,false,false,156
25,1,1,false,false,3
25,1,2,false,false,3
25,1,3,false,false,3
25,1,4,false,false,3
25,1,5,false,false,3
25,2,1,false,false,26
25,2,2,false,false,23
25,2,3,false,false,26
25,2,4,false,false,24
25,2,5,false,false,23
25,3,1,false,false,116
25,3,2,false,false,110
25,3,3,false,false,108
25,3,4,false,false,110
25,3,5,false,false,118
42,1,1,false,false,6
42,1,2,false,false,6
42,1,3,false,false,6
42,1,4,false,false,6
42,1,5,false,false,6
42,2,1,false,false,34
42,2,2,false,false,34
42,2,3,false,false,35
42,2,4,false,false,34
42,2,5,false,false,36
42,3,1,false,false,177
42,3,2,false,false,193
42,3,3,false,false,188
42,3,4,false,false,188
42,3,5,false,false,185
5,1,1,false,false,17
5,1,2,false,false,17
5,1,3,false,false,17
5,1,4,false,false,17
5,1,5,false,false,17
5,2,1,false,false,538
5,2,2,false,false,532
5,2,3,false,false,538
5,2,4,false,false,538
5,2,5,false,false,538
5,3,1,false,false,10383
5,3,2,false,false,10383
5,3,3,false,false,10383
5,3,4,false,false,10383
5,3,5,false,false,10383
4,1,1,false,false,7
4,1,2,false,false,7
4,1,3,false,false,7
4,1,4,false,false,7
4,1,5,false,false,7
4,2,1,false,false,49
4,2,2,false,false,48
4,2,3,false,false,49
4,2,4,false,false,47
4,2,5,false,false,47
4,3,1,false,false,310
4,3,2,false,false,305
4,3,3,false,false,320
4,3,4,false,false,299
4,3,5,false,false,293
35,1,1,false,false,63
35,1,2,false,false,63
35,1,3,false,false,63
35,1,4,false,false,63
35,1,5,false,false,63
35,2,1,false,false,242
35,2,2,false,false,241
35,2,3,false,false,242
35,2,4,false,false,248
35,2,5,false,false,243
35,3,1,false,false,1166
35,3,2,false,false,1197
35,3,3,false,false,1197
35,3,4,false,false,1177
35,3,5,false,false,1197
36,1,1,false,false,58
36,1,2,false,false,58
36,1,3,false,false,58
36,1,4,false,false,59
36,1,5,false,false,58
36,2,1,false,false,218
36,2,2,false,false,218
36,2,3,false,false,218
36,2,4,false,false,218
36,2,5,false,false,218
36,3,1,false,false,1094
36,3,2,false,false,1101
36,3,3,false,false,1118
36,3,4,false,false,1103
36,3,5,false,false,1095
46,1,1,false,false,72
46,1,2,false,false,72
46,1,3,false,false,72
46,1,4,false,false,72
46,1,5,false,false,72
46,2,1,false,false,508
46,2,2,false,false,511
46,2,3,false,false,513
46,2,4,false,false,512
46,2,5,false,false,509
46,3,1,false,false,3498
46,3,2,false,false,3537
46,3,3,false,false,3378
46,3,4,false,false,3537
46,3,5,false,false,3537
47,1,1,false,false,52
47,1,2,false,false,52
47,1,3,false,false,52
47,1,4,false,false,52
47,1,5,false,false,52
47,2,1,false,false,370
47,2,2,false,false,368
47,2,3,false,false,370
47,2,4,false,false,370
47,2,5,false,false,369
47,3,1,false,false,2461
47,3,2,false,false,2461
47,3,3,false,false,2461
47,3,4,false,false,2461
47,3,5,false,false,2461
