SystemID,Iteration,core,atomic
4,8,2135317,52596148
4,9,2091300,52168932
4,10,2087982,52124600
35,1,9917875,647785792
35,2,9250831,638049024
35,3,8616659,635099648
35,4,8844892,632524160
35,5,8676286,630667456
35,6,8693363,626298624
35,7,8646574,632187008
35,8,8848116,631446080
35,9,8671691,583188928
35,10,6833427,588473472
36,1,8780420,868222336
36,2,8801182,854872448
36,3,8544848,863209280
36,4,8714491,890599104
36,5,10073405,894109696
36,6,9955839,892660416
36,7,10271255,886517696
36,8,9947141,882982336
36,9,8601234,862573568
36,10,8809979,869063808
46,1,9742957,504967264
46,2,10365528,513167616
46,3,10856471,507346176
46,4,9893261,508840288
46,5,9732141,512081664
46,6,9713555,509854272
46,7,10042231,489817568
46,8,8265532,487240896
46,9,8334228,491690528
46,10,8649241,487834208
47,1,8277510,477595296
47,2,7292474,472432768
47,3,7279658,468854336
47,4,7746270,470280512
47,5,7352255,471182176
47,6,7222809,467891872
47,7,7244353,476383264
47,8,7243403,468729120
47,9,7238115,468984064
47,10,7649624,481320800
8,1,2520474,117727808
8,2,2244492,116368704
8,3,2402146,116709368
8,4,2198667,118577832
8,5,2169456,117678720
8,6,2243105,116127552
8,7,2156713,115601056
8,8,2484977,115659600
8,9,2170219,117278848
8,10,2567870,117473048
45,1,1161644,153751904
45,2,1277182,148775568
45,3,1263746,146438384
45,4,1212715,148084176
45,5,1231408,147216448
45,6,1252827,148420864
45,7,1297291,147636464
45,8,1223872,148373680
45,9,1262374,148073888
45,10,1199656,148816064
7,1,3407715,277217248
7,2,3812076,266851104
7,3,3110994,283867392
7,4,3206086,264126176
7,5,3073804,266305232
7,6,3102573,264246144
7,7,3030186,263081344
7,8,3053265,266947232
7,9,3082938,269595200
7,10,3037177,263377888
43,1,8565484,319325376
43,2,8500976,320013088
43,3,8474284,321289280
43,4,8349581,334522528
43,5,10099401,336833152
43,6,10105911,336524544
43,7,10022546,338239008
43,8,10240845,339876384
43,9,10484220,339449792
43,10,10366298,339861664
27,1,2783765,588769600
27,2,2771438,588588032
27,3,2893776,591630720
27,4,2820992,594102080
27,5,2808151,594643968
27,6,2893941,590667072
27,7,2753687,590960000
27,8,2828112,562910912
27,9,2460894,558637696
27,10,2587514,560817856
38,1,51775032,10359386112
38,2,50164440,10449265664
38,3,54532320,10108666880
38,4,50170600,10041158656
38,5,49985504,10021095424
38,6,54407984,9982920704
38,7,51400232,10274188288
38,8,49942976,10302846976
38,9,51028832,10384926720
38,10,51117768,9938388992
18,1,10134304,1519104512
18,2,8522321,1520171264
18,3,8597590,1522126336
18,4,8583411,1515676544
18,5,8823450,1532087552
18,6,9962948,1574036224
18,7,8589015,1518869632
18,8,8482529,1517658496
18,9,8498939,1562690048
18,10,9569706,1548244736
37,1,98925864,46613479424
37,2,96924168,46418579456
37,3,95823992,46409846784
37,4,95966168,46908067840
37,5,96294776,46009892864
37,6,95849632,46747029504
37,7,96558800,46788501504
37,8,96982264,46545764352
37,9,96057632,46780997632
37,10,96715136,46955274240
26,1,5514725,1721607936
26,2,5221309,1722851584
26,3,5233933,1673369344
26,4,5162009,1733919360
26,5,5111034,1753620864
26,6,5126105,1727145984
26,7,5228359,1701243776
26,8,5223515,1715201024
26,9,5163944,1728862720
26,10,5234465,1723576448
28,1,5737993,2356254464
28,2,5832522,2453386240
28,3,5762209,2398856448
28,4,5747119,2402546432
28,5,5729010,2393232640
28,6,6006699,2405678592
28,7,5739583,2344008704
28,8,5558543,2401319680
28,9,5945506,2412260352
28,10,5665274,2382859776
21,1,13135769,2461200384
21,2,11934008,2430913024
21,3,11344609,2448590592
21,4,12470112,2471396352
21,5,11059030,2411183360
21,6,10903402,2426847488
21,7,11115611,2445220096
21,8,11059361,2455283712
21,9,10906479,2423453184
21,10,10936455,2427440640
9,1,38994368,4555448832
9,2,37425648,4532105216
9,3,37680916,4381148672
9,4,40945668,4504155648
9,5,37700776,4545206272
9,6,37418480,4448374784
9,7,37513932,4471322624
9,8,37251268,4470768128
9,9,37696688,4415249920
9,10,37569024,4467436032
22,1,11802048,2813860864
22,2,11905422,2818633984
22,3,11830507,2814691328
22,4,11824296,2811682048
22,5,11805021,2700782592
22,6,11783012,2812611328
22,7,11850322,2790476800
22,8,12470557,2822165248
22,9,11783696,2814550784
22,10,11767035,2702906368
32,1,13258706,2867292416
32,2,13687701,2722137088
32,3,13259785,2894715648
32,4,13000742,2789186304
32,5,13003491,2857769728
32,6,12964805,2895958016
32,7,13317370,2890279680
32,8,13043108,2878122752
32,9,12942600,2744546304
32,10,13031859,2938861056
40,1,12829088,3106862336
40,2,11885678,3139193600
40,3,13965323,3099759104
40,4,11940373,3084709632
40,5,12076791,3081437184
40,6,11826037,3107257088
40,7,13970783,3150469632
40,8,11986535,3128748800
40,9,14068309,3144636160
40,10,12468364,3007745024
19,1,11610404,2986024448
19,2,11767035,2951186688
19,3,11599282,2982392576
19,4,11641596,2968300032
19,5,11511619,2999141888
19,6,11590002,2999974656
19,7,11555012,3000240640
19,8,11905665,3031924736
19,9,11621976,2975640832
19,10,11715783,2993849856
20,1,12076711,3053828096
20,2,12117264,3109938176
20,3,12183057,3045298688
20,4,12073380,3091378176
20,5,12334140,3106140672
20,6,12034884,3184975872
20,7,12038311,3117303808
20,8,12606620,3111326208
20,9,12210209,3125084160
20,10,12060389,2980603392
12,1,67676352,16735177728
12,2,63219656,16841774080
12,3,63461420,16518885376
12,4,63790504,17928591360
12,5,82404904,17818050560
12,6,63298320,17529088000
12,7,63447128,16780258304
12,8,64094496,17037508608
12,9,76669216,17950341120
12,10,63830272,17663920128
33,1,13997666,3484956416
33,2,13876412,3523256576
33,3,14526231,3480018176
33,4,14090441,3507149056
33,5,13965491,3518610176
33,6,13889837,3531521280
33,7,14584090,3446591744
33,8,14657704,3497655040
33,9,14426828,3441125376
